,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/1/15,ABEL,239,689,1065,,1993,2029,ABEL
11/1/15,HUSKER HOAGIES,,,,36,36,,
11/1/15,CPN,,,,,0,509,CPN
11/1/15,HUSKER HEROS,,509,,,509,,
11/1/15,KNOLL,,,,,0,,
11/1/15,EAST CAMPUS,,29,51,,80,80,EAST
11/1/15,CORNER DELI,,,,,0,,
11/1/15,HARPER,134,475,612,,1221,1221,HARPER
11/1/15,,,,,,,,
11/1/15,SELLECK,165,619,1076,,1860,1860,SELLECK
11/1/15,HUSKERS TO GO,,,,,0,,
,,,,,,,5699,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/2/15,ABEL,648,551,1030,47,2276,2893,ABEL
11/2/15,HUSKER HOAGIES,,617,,,617,,
11/2/15,CPN,514,658,1070,,2242,3013,CPN
11/2/15,HUSKER HEROS,,470,,,470,,
11/2/15,KNOLL,301,,,,301,,
11/2/15,EAST CAMPUS,62,231,132,,425,474,EAST
11/2/15,CORNER DELI,8,41,,,49,,
11/2/15,HARPER,529,806,1034,,2369,2369,HARPER
11/2/15,,,,,,,,
11/2/15,SELLECK,714,1531,1015,,3260,3423,SELLECK
11/2/15,HUSKERS TO GO,,163,,,163,,
,,,,,,,12172,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/3/15,ABEL,612,591,1280,46,2529,3206,ABEL
11/3/15,HUSKER HOAGIES,,677,,,677,,
11/3/15,CPN,476,610,955,,2041,2896,CPN
11/3/15,HUSKER HEROS,,566,,,566,,
11/3/15,KNOLL,289,,,,289,,
11/3/15,EAST CAMPUS,81,227,167,,475,536,EAST
11/3/15,CORNER DELI,13,48,,,61,,
11/3/15,HARPER,520,806,1128,,2454,2454,HARPER
11/3/15,,,,,,,,
11/3/15,SELLECK,601,1471,1178,,3250,3444,SELLECK
11/3/15,HUSKERS TO GO,,194,,,194,,
,,,,,,,12536,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/4/15,ABEL,662,544,1161,47,2414,3022,ABEL
11/4/15,HUSKER HOAGIES,,608,,,608,,
11/4/15,CPN,505,662,955,,2122,2946,CPN
11/4/15,HUSKER HEROS,,523,,,523,,
11/4/15,KNOLL,301,,,,301,,
11/4/15,EAST CAMPUS,78,201,135,,414,471,EAST
11/4/15,CORNER DELI,11,46,,,57,,
11/4/15,HARPER,518,798,1071,,2387,2387,HARPER
11/4/15,,,,,,,,
11/4/15,SELLECK,735,1613,1022,,3370,3574,SELLECK
11/4/15,HUSKERS TO GO,,204,,,204,,
,,,,,,,12400,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/5/15,ABEL,606,576,1044,43,2269,2933,ABEL
11/5/15,HUSKER HOAGIES,,664,,,664,,
11/5/15,CPN,440,580,933,,1953,2814,CPN
11/5/15,HUSKER HEROS,,554,,,554,,
11/5/15,KNOLL,307,,,,307,,
11/5/15,EAST CAMPUS,70,232,118,,420,472,EAST
11/5/15,CORNER DELI,15,37,,,52,,
11/5/15,HARPER,530,807,1034,,2371,2371,HARPER
11/5/15,,,,,,,,
11/5/15,SELLECK,590,1411,1219,,3220,3397,SELLECK
11/5/15,HUSKERS TO GO,,177,,,177,,
,,,,,,,11987,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/6/15,ABEL,604,604,877,,2085,2701,ABEL
11/6/15,HUSKER HOAGIES,,616,,,616,,
11/6/15,CPN,466,554,,,1020,1808,CPN
11/6/15,HUSKER HEROS,,476,,,476,,
11/6/15,KNOLL,312,,,,312,,
11/6/15,EAST CAMPUS,55,193,127,,375,420,EAST
11/6/15,CORNER DELI,8,37,,,45,,
11/6/15,HARPER,463,759,724,,1946,1946,HARPER
11/6/15,,,,,,,,
11/6/15,SELLECK,669,1362,1052,,3083,3265,SELLECK
11/6/15,HUSKERS TO GO,,182,,,182,,
,,,,,,,10140,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/7/15,ABEL,214,651,418,,1283,1283,ABEL
11/7/15,HUSKER HOAGIES,,,,,0,,
11/7/15,CPN,,,,,0,545,CPN
11/7/15,HUSKER HEROS,,545,,,545,,
11/7/15,KNOLL,,,,,0,,
11/7/15,EAST CAMPUS,,33,23,,56,56,EAST
11/7/15,CORNER DELI,,,,,0,,
11/7/15,HARPER,147,544,360,,1051,1051,HARPER
11/7/15,,,,,,,,
11/7/15,SELLECK,188,569,700,,1457,1457,SELLECK
11/7/15,HUSKERS TO GO,,,,,0,,
,,,,,,,4392,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/8/15,ABEL,181,651,943,40,1815,1815,ABEL
11/8/15,HUSKER HOAGIES,,,,,0,,
11/8/15,CPN,,,,,0,569,CPN
11/8/15,HUSKER HEROS,,569,,,569,,
11/8/15,KNOLL,,,,,0,,
11/8/15,EAST CAMPUS,,35,48,,83,83,EAST
11/8/15,CORNER DELI,,,,,0,,
11/8/15,HARPER,96,542,766,,1404,1404,HARPER
11/8/15,,,,,,,,
11/8/15,SELLECK,156,635,1191,,1982,1982,SELLECK
11/8/15,HUSKERS TO GO,,,,,0,,
,,,,,,,5853,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/9/15,ABEL,611,565,1023,52,2251,2834,ABEL
11/9/15,HUSKER HOAGIES,,583,,,583,,
11/9/15,CPN,489,711,1008,,2208,3009,CPN
11/9/15,HUSKER HEROS,,489,,,489,,
11/9/15,KNOLL,312,,,,312,,
11/9/15,EAST CAMPUS,50,220,155,,425,479,EAST
11/9/15,CORNER DELI,11,43,,,54,,
11/9/15,HARPER,488,713,1019,,2220,2220,HARPER
11/9/15,,,,,,,,
11/9/15,SELLECK,686,1536,1050,,3272,3460,SELLECK
11/9/15,HUSKERS TO GO,,188,,,188,,
,,,,,,,12002,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/10/15,ABEL,595,520,1268,66,2449,3097,ABEL
11/10/15,HUSKER HOAGIES,,648,,,648,,
11/10/15,CPN,452,604,958,,2014,2902,CPN
11/10/15,HUSKER HEROS,,589,,,589,,
11/10/15,KNOLL,299,,,,299,,
11/10/15,EAST CAMPUS,70,194,169,,433,474,EAST
11/10/15,CORNER DELI,6,35,,,41,,
11/10/15,HARPER,496,836,1088,,2420,2420,HARPER
11/10/15,,,,,,,,
11/10/15,SELLECK,569,1390,1123,,3082,3290,SELLECK
11/10/15,HUSKERS TO GO,,208,,,208,,
,,,,,,,12183,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/11/15,ABEL,604,580,1143,46,2373,2997,ABEL
11/11/15,HUSKER HOAGIES,,624,,,624,,
11/11/15,CPN,459,697,1005,,2161,2961,CPN
11/11/15,HUSKER HEROS,,510,,,510,,
11/11/15,KNOLL,290,,,,290,,
11/11/15,EAST CAMPUS,96,222,153,,471,522,EAST
11/11/15,CORNER DELI,13,38,,,51,,
11/11/15,HARPER,520,854,1066,,2440,2440,HARPER
11/11/15,,,,,,,,
11/11/15,SELLECK,697,1536,1062,,3295,3492,SELLECK
11/11/15,HUSKERS TO GO,,197,,,197,,
,,,,,,,12412,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/12/15,ABEL,578,568,1154,32,2332,2985,ABEL
11/12/15,HUSKER HOAGIES,,653,,,653,,
11/12/15,CPN,426,599,1402,,2427,3341,CPN
11/12/15,HUSKER HEROS,,616,,,616,,
11/12/15,KNOLL,298,,,,298,,
11/12/15,EAST CAMPUS,62,199,154,,415,456,EAST
11/12/15,CORNER DELI,18,23,,,41,,
11/12/15,HARPER,461,831,1166,,2458,2458,HARPER
11/12/15,,,,,,,,
11/12/15,SELLECK,597,1169,1099,,2865,3073,SELLECK
11/12/15,HUSKERS TO GO,,208,,,208,,
,,,,,,,12313,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/13/15,ABEL,556,518,776,,1850,2413,ABEL
11/13/15,HUSKER HOAGIES,,563,,,563,,
11/13/15,CPN,451,567,,,1018,1804,CPN
11/13/15,HUSKER HEROS,,498,,,498,,
11/13/15,KNOLL,288,,,,288,,
11/13/15,EAST CAMPUS,46,171,114,,331,377,EAST
11/13/15,CORNER DELI,7,39,,,46,,
